Classifier,Accuracy,Sensitivity,Specificity,F-score
Gradient Boosting (StandardScaler),0.9646483465300421,0.9869087434304825,0.8705627705627705,0.9783778066802922
Random Forest (StandardScaler + SelectKBest),0.9628629094861045,0.9847348303870043,0.8705627705627705,0.9772954639343551
Gradient Boosting (MinMaxScaler),0.9611085235211924,0.9847109412326803,0.861038961038961,0.9762040199903765
Random Forest (MinMaxScaler),0.9610929979816799,0.9891065456282847,0.8428571428571429,0.9763087772954947
Voting Ensemble (StandardScaler + SelectKBest),0.9593386120167675,0.9825609173435261,0.8614718614718615,0.9751218719987327
Gradient Boosting (StandardScaler + SelectKBest),0.9593386120167675,0.9825131390348781,0.861038961038961,0.9750871041193623
XGBoost (StandardScaler + SelectKBest),0.9575687005123429,0.9825609173435261,0.8519480519480519,0.9740753434385813
Random Forest (StandardScaler),0.955798789007918,0.9825370281892021,0.8432900432900434,0.9729951551179173
Voting Ensemble (StandardScaler),0.9540444030430058,0.9825609173435261,0.8337662337662337,0.9719493266807845
Voting Ensemble (MinMaxScaler),0.9522744915385811,0.9825609173435261,0.8246753246753247,0.9709253193989549
XGBoost (StandardScaler),0.9522744915385811,0.9825609173435261,0.8246753246753247,0.9709133158105138
KNN (StandardScaler),0.9522589659990685,0.9825370281892021,0.8246753246753247,0.9708673589869345
XGBoost (MinMaxScaler),0.9505045800341563,0.9803870043000478,0.8246753246753247,0.9698089856739255
KNN (StandardScaler + PCA(10)),0.9504890544946438,0.9825370281892021,0.8151515151515152,0.9698101007308167
Logistic Regression (StandardScaler + PCA(5)),0.9469647570253066,0.9825609173435261,0.7965367965367964,0.9677868754595098
KNN (StandardScaler + SelectKBest),0.9469647570253066,0.9781892021022456,0.8155844155844157,0.9676233716823667
Extra Trees (MinMaxScaler),0.9469647570253066,0.9760391782130913,0.8246753246753247,0.9675641178552871
KNN (MinMaxScaler),0.9469647570253066,0.9760152890587672,0.8246753246753247,0.967492450387704
Extra Trees (StandardScaler),0.9469647570253066,0.9738413760152891,0.8337662337662337,0.9674726056155251
Extra Trees (StandardScaler + SelectKBest),0.9452103710603943,0.9695174390826565,0.8432900432900434,0.9662924393562389
Logistic Regression (StandardScaler),0.945194845520882,0.9803631151457239,0.7965367965367964,0.9666598557366646
Stacking Ensemble (StandardScaler),0.945194845520882,0.9803631151457239,0.7965367965367964,0.9666598557366646
Logistic Regression (StandardScaler + PCA(10)),0.945194845520882,0.9803631151457239,0.7965367965367964,0.9666598557366646
Stacking Ensemble (StandardScaler + PCA(10)),0.945194845520882,0.9803631151457239,0.7965367965367964,0.9666598557366646
SVM (RBF) (StandardScaler),0.9451948455208818,0.9803870043000478,0.7965367965367964,0.9666705417344803
SVM (RBF) (MinMaxScaler),0.9451948455208818,0.9803870043000478,0.7965367965367964,0.9666705417344803
Stacking Ensemble (MinMaxScaler),0.9451948455208818,0.9803870043000478,0.7965367965367964,0.9666705417344803
SVM (RBF) (StandardScaler + SelectKBest),0.9451948455208818,0.9803870043000478,0.7965367965367964,0.9666705417344803
SVM (RBF) (StandardScaler + PCA(5)),0.9451948455208818,0.9803870043000478,0.7965367965367964,0.9666705417344803
SVM (RBF) (StandardScaler + PCA(10)),0.9451948455208818,0.9803870043000478,0.7965367965367964,0.9666705417344803
Logistic Regression (StandardScaler + SelectKBest),0.9434249340164571,0.9781653129479218,0.7965367965367964,0.9655558364163266
Stacking Ensemble (StandardScaler + PCA(5)),0.9434249340164571,0.9781653129479218,0.7965367965367964,0.9655558364163266
Logistic Regression (MinMaxScaler),0.9434249340164571,0.9781892021022456,0.7965367965367964,0.9655435220116353
SVM (RBF) (StandardScaler + LDA),0.9434249340164571,0.9781892021022456,0.7965367965367964,0.9655435220116353
KNN (StandardScaler + LDA),0.9416550225120324,0.9847587195413283,0.7593073593073593,0.9647165261562289
KNN (StandardScaler + PCA(5)),0.93990063654712,0.9716435738174868,0.8056277056277056,0.9632172722526409
Stacking Ensemble (StandardScaler + SelectKBest),0.9398851110076075,0.973817486860965,0.7965367965367964,0.9633239831697054
Logistic Regression (StandardScaler + LDA),0.9398851110076075,0.973817486860965,0.7965367965367964,0.9633239831697054
Stacking Ensemble (StandardScaler + LDA),0.9398851110076075,0.973817486860965,0.7965367965367964,0.9633239831697054
XGBoost (StandardScaler + LDA),0.9346064275733582,0.9694218824653607,0.7865800865800866,0.9600164541341012
XGBoost (StandardScaler + PCA(5)),0.932852041608446,0.9650979455327281,0.7965367965367964,0.9588080333904687
Random Forest (StandardScaler + PCA(5)),0.9257568700512342,0.9541567128523651,0.806060606060606,0.9541159119265942
XGBoost (StandardScaler + PCA(10)),0.9240180096258344,0.9585523172479695,0.7783549783549784,0.9533170507552671
Voting Ensemble (StandardScaler + PCA(5)),0.9239869585468095,0.9519827998088868,0.806060606060606,0.9529999572622524
Voting Ensemble (StandardScaler + PCA(10)),0.9222325725818973,0.9498088867654084,0.806060606060606,0.9518585572258248
Random Forest (StandardScaler + PCA(10)),0.9222170470423847,0.9519827998088868,0.7965367965367964,0.9519563722407668
Extra Trees (StandardScaler + PCA(5)),0.9186927495730476,0.9476110845676065,0.7969696969696969,0.9496634196562921
Extra Trees (StandardScaler + PCA(10)),0.9186772240335351,0.9454371715241281,0.806060606060606,0.9495408946047442
Gradient Boosting (StandardScaler + PCA(10)),0.9186772240335351,0.945413282369804,0.8056277056277056,0.9494485866810498
Gradient Boosting (StandardScaler + PCA(5)),0.9169073125291105,0.945413282369804,0.7961038961038961,0.948406593083661
Gradient Boosting (StandardScaler + LDA),0.911628629094861,0.9454849498327759,0.7688311688311689,0.9453550438338925
Voting Ensemble (StandardScaler + LDA),0.9063033690420742,0.9367415193502151,0.7779220779220778,0.9417730542786602
Extra Trees (StandardScaler + LDA),0.904548983077162,0.9367415193502151,0.7692640692640693,0.9407173048264201
Random Forest (StandardScaler + LDA),0.9045489830771618,0.9367415193502151,0.7688311688311689,0.9407166521172856
